NO;NO.INDUK KARYAWAN;AMOUNT
;J0013;250.000
;J0011;250.000
;J0128;100.000
;J0084;250.000
;J0125;250.000
;J0264;100.000
;J0659;100.000
;J0807;166.667
;J0658;250.000
;J0823;33.333
;J0846;8.333
;J0847;8.333
;J0848;8.333
;J0131;600.000
;J0134;900.000
;J0159;250.000
;J0171;600.000
;J0130;250.000
;J0363;250.000
;J0040;250.000
;J0302;900.000
;J0302;250.000
;J0429;600.000
;J0305;250.000
;J0434;250.000
;J0457;250.000
;J0486;250.000
;J0520;600.000
;J0522;600.000
;J0575;600.000
;J0577;900.000
;J0618;250.000
;J0227;600.000
;J0736;250.000
;J0741;250.000
;J0740;900.000
;J0761;600.000
;J0760;250.000
;J0781;250.000
;J0841;16.667
;J0845;8.333
;J0423;900.000
;J0166;600.000
;J0426;600.000
;J0428;250.000
;J0560;900.000
;J0784;900.000
;J0786;900.000
;J0306;250.000
;J0774;250.000
;J0178;600.000
;J0260;600.000
